일자,전체,SK에너지,GS칼텍스,현대오일뱅크,S-OIL,알뜰주유소,자가상표
"2022/09/23","1847.31","1854.02","1858.28","1844.74","1845.78","1822.33","1834.21"
"2022/09/22","1849.76","1855.88","1861.34","1847.05","1848.11","1825.55","1836.98"
"2022/09/21","1852.35","1858.24","1863.47","1850.37","1850.50","1828.36","1839.89"
"2022/09/20","1855.12","1860.41","1866.72","1853.24","1853.02","1831.82","1843.99"
"2022/09/19","1858.61","1864.58","1869.49","1856.07","1856.11","1836.70","1848.85"
"2022/09/18","1859.21","1865.41","1869.78","1856.35","1856.75","1837.68","1850.44"
"2022/09/17","1859.89","1866.04","1870.63","1857.10","1857.41","1838.16","1851.05"
"2022/09/16","1860.74","1866.86","1871.51","1858.17","1857.88","1839.21","1852.52"
"2022/09/15","1860.41","1866.18","1871.33","1857.91","1857.46","1839.20","1853.86"
"2022/09/14","1858.63","1864.21","1869.35","1856.64","1855.41","1837.50","1853.92"
"2022/09/13","1857.38","1862.83","1867.60","1856.09","1854.44","1835.75","1852.34"
"2022/09/12","1856.09","1861.27","1867.27","1854.67","1852.63","1834.73","1848.22"
"2022/09/11","1855.82","1861.13","1866.17","1854.51","1852.83","1834.63","1848.63"
"2022/09/10","1855.39","1860.83","1865.89","1853.76","1852.39","1834.16","1848.71"
"2022/09/09","1854.92","1860.18","1865.51","1853.33","1852.12","1833.52","1848.62"
"2022/09/08","1853.89","1859.12","1864.28","1852.71","1850.98","1832.30","1847.46"
"2022/09/07","1852.57","1857.44","1863.53","1851.64","1850.03","1829.82","1845.53"
"2022/09/06","1851.76","1856.81","1862.98","1851.21","1848.91","1828.17","1842.23"
"2022/09/05","1851.27","1856.21","1862.65","1850.49","1848.91","1827.32","1841.91"
"2022/09/04","1850.76","1856.02","1862.04","1849.28","1848.39","1827.38","1843.59"
"2022/09/03","1850.67","1856.28","1862.16","1848.65","1848.16","1827.34","1842.48"
"2022/09/02","1850.70","1856.08","1862.97","1848.63","1848.24","1826.82","1840.39"
"2022/09/01","1850.30","1855.63","1862.36","1848.55","1847.97","1826.00","1841.30"
"2022/08/31","1847.37","1852.84","1857.52","1845.44","1846.24","1823.94","1842.54"
"2022/08/30","1845.33","1850.55","1855.73","1843.68","1843.88","1822.01","1840.48"
"2022/08/29","1840.79","1846.44","1849.89","1839.59","1840.55","1816.00","1834.43"
"2022/08/28","1839.07","1845.15","1848.55","1835.84","1839.64","1814.84","1835.25"
"2022/08/27","1838.82","1845.35","1848.18","1835.70","1839.02","1814.26","1833.67"
"2022/08/26","1838.58","1845.06","1848.52","1835.44","1838.28","1814.18","1830.98"
"2022/08/25","1838.60","1845.16","1848.41","1835.00","1837.76","1815.74","1833.43"
"2022/08/24","1839.79","1846.27","1849.20","1836.29","1839.04","1817.62","1832.58"
"2022/08/23","1842.27","1848.45","1851.82","1838.19","1841.42","1821.90","1834.52"
"2022/08/22","1846.57","1852.71","1856.44","1841.96","1844.53","1828.71","1838.80"
"2022/08/21","1850.59","1856.94","1859.91","1846.19","1848.65","1832.57","1842.76"
"2022/08/20","1852.84","1858.85","1862.53","1848.34","1851.60","1833.83","1847.25"
"2022/08/19","1857.23","1863.20","1866.44","1852.84","1856.06","1838.76","1851.90"
"2022/08/18","1863.53","1868.82","1873.79","1859.13","1862.17","1844.95","1860.85"
"2022/08/17","1870.89","1876.69","1880.06","1866.87","1869.45","1852.41","1867.73"
"2022/08/16","1880.12","1885.25","1890.54","1875.24","1878.57","1863.03","1874.53"
