일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/09/20","63000","-100","-0.16","63800","64700","63000","32746056","2086233666488","376096300650000","5969782550"
"2024/09/19","63100","-1300","-2.02","64000","64400","62200","49402713","3115926466558","376693278905000","5969782550"
"2024/09/13","64400","-1900","-2.87","65000","65500","64300","25045135","1621747052400","384453996220000","5969782550"
"2024/09/12","66300","1400","2.16","66000","66600","65200","35884106","2369440968156","395796583065000","5969782550"
"2024/09/11","64900","-1300","-1.96","65100","65500","64200","35809707","2325181296712","387438887495000","5969782550"
"2024/09/10","66200","-1300","-1.93","67000","67300","66000","30651376","2041161645484","395199604810000","5969782550"
"2024/09/09","67500","-1400","-2.03","66900","68200","66600","23263298","1566504915737","402960322125000","5969782550"
"2024/09/06","68900","-100","-0.14","69100","69700","68000","19022299","1309833642247","411318017695000","5969782550"
"2024/09/05","69000","-1000","-1.43","70100","71200","69000","25686769","1795890039418","411914995950000","5969782550"
"2024/09/04","70000","-2500","-3.45","69800","71100","69800","27366563","1923751777154","417884778500000","5969782550"
"2024/09/03","72500","-1900","-2.55","74100","74300","72500","16314599","1195017081270","432809234875000","5969782550"
"2024/09/02","74400","100","0.13","74500","74700","73500","12641376","938130139986","444151821720000","5969782550"
"2024/08/30","74300","300","0.41","74400","75000","74100","16358520","1217838630548","443554843465000","5969782550"
"2024/08/29","74000","-2400","-3.14","73600","74700","73500","16884479","1250517121400","441763908700000","5969782550"
"2024/08/28","76400","600","0.79","75800","76400","75400","9794514","743267480799","456091386820000","5969782550"
"2024/08/27","75800","-300","-0.39","75700","76500","75600","11130145","845521021636","452509517290000","5969782550"
"2024/08/26","76100","-1600","-2.06","78100","78200","76000","15655938","1200212317200","454300452055000","5969782550"
"2024/08/23","77700","-600","-0.77","77700","78400","77500","9420306","733115152500","463852104135000","5969782550"
"2024/08/22","78300","0","0.00","78700","78900","77800","8149101","637688676000","467433973665000","5969782550"
"2024/08/21","78300","-600","-0.76","77900","78600","77800","7805598","610445256200","467433973665000","5969782550"
"2024/08/20","78900","600","0.77","79500","79800","78700","10683836","846450905406","471015843195000","5969782550"
"2024/08/19","78300","-1900","-2.37","80100","80100","78000","14146565","1112867011200","467433973665000","5969782550"
"2024/08/16","80200","3000","3.89","79400","80200","78700","22061478","1749786266068","478776560510000","5969782550"
"2024/08/14","77200","1100","1.45","77400","77800","77000","13246168","1023945760936","460867212860000","5969782550"
"2024/08/13","76100","600","0.79","76500","76600","75500","10716261","814879344944","454300452055000","5969782550"
"2024/08/12","75500","800","1.07","75200","75900","74800","9839259","742667828012","450718582525000","5969782550"
"2024/08/09","74700","1300","1.77","75700","75800","74200","16388222","1226725116766","445942756485000","5969782550"
"2024/08/08","73400","-1300","-1.74","73200","73900","72500","28414729","2079007355535","438182039170000","5969782550"
"2024/08/07","74700","2200","3.03","73000","76000","72800","32710428","2439049835003","445942756485000","5969782550"
"2024/08/06","72500","1100","1.54","74900","75300","72300","47295226","3482608290900","432809234875000","5969782550"
"2024/08/05","71400","-8200","-10.30","76700","76900","70200","54608790","4028468177890","426242474070000","5969782550"
"2024/08/02","79600","-3500","-4.21","81000","81400","79500","25800275","2072583435468","475194690980000","5969782550"
"2024/08/01","83100","-800","-0.95","86000","86100","83100","20900338","1761066086600","496088929905000","5969782550"
"2024/07/31","83900","2900","3.58","81200","83900","80900","20744323","1709905651240","500864755945000","5969782550"
"2024/07/30","81000","-200","-0.25","80400","81000","80000","13169636","1058509976884","483552386550000","5969782550"
"2024/07/29","81200","300","0.37","81600","82000","81100","12797136","1042595012848","484746343060000","5969782550"
"2024/07/26","80900","500","0.62","80700","81300","80400","14508334","1171301827600","482955408295000","5969782550"
"2024/07/25","80400","-1600","-1.95","80400","81000","80100","20323811","1634938043600","479970517020000","5969782550"
"2024/07/24","82000","-1900","-2.26","82900","83300","81900","16939083","1397137102450","489522169100000","5969782550"
"2024/07/23","83900","900","1.08","84200","84700","83400","15766389","1325673625798","500864755945000","5969782550"
"2024/07/22","83000","-1400","-1.66","84400","84900","82600","18987560","1581559180516","495491951650000","5969782550"
"2024/07/19","84400","-2500","-2.88","85600","86100","84100","18569122","1574018492068","503849647220000","5969782550"
"2024/07/18","86900","200","0.23","83800","86900","83800","24721790","2104104629510","518774103595000","5969782550"
"2024/07/17","86700","-1000","-1.14","87100","88000","86400","18186490","1585140028938","517580147085000","5969782550"
"2024/07/16","87700","1000","1.15","86900","88000","86700","16166688","1413744130426","523549929635000","5969782550"
"2024/07/15","86700","2300","2.73","84700","87300","84100","25193080","2151182147147","517580147085000","5969782550"
"2024/07/12","84400","-3200","-3.65","85900","86100","84100","26344386","2234914589643","503849647220000","5969782550"
"2024/07/11","87600","-200","-0.23","88500","88800","86700","24677608","2164539095066","522952951380000","5969782550"
"2024/07/10","87800","0","0.00","87600","88000","87100","17813847","1560911761680","524146907890000","5969782550"
"2024/07/09","87800","400","0.46","87800","88200","86900","21336201","1869414925283","524146907890000","5969782550"
"2024/07/08","87400","300","0.34","87900","88600","86900","24035809","2105162327800","521758994870000","5969782550"
"2024/07/05","87100","2500","2.96","85600","87100","85200","45791193","3951280237696","519968060105000","5969782550"
"2024/07/04","84600","2800","3.42","82900","84700","82400","43857229","3679078036300","505043603730000","5969782550"
"2024/07/03","81800","0","0.00","82300","82300","81000","11440328","933802003100","488328212590000","5969782550"
"2024/07/02","81800","0","0.00","82500","82600","81500","14471904","1186008163180","488328212590000","5969782550"
"2024/07/01","81800","300","0.37","81500","82100","81300","11317202","925400917400","488328212590000","5969782550"
"2024/06/28","81500","-100","-0.12","81900","81900","80800","9455929","768935755446","486537277825000","5969782550"
"2024/06/27","81600","300","0.37","81300","81600","80500","11739720","953180945250","487134256080000","5969782550"
"2024/06/26","81300","500","0.62","80100","81400","79900","17783242","1436019023400","485343321315000","5969782550"
"2024/06/25","80800","200","0.25","80600","81800","80100","19088458","1545796110887","482358430040000","5969782550"
"2024/06/24","80600","600","0.75","79700","80900","79500","15454227","1239803887850","481164473530000","5969782550"
"2024/06/21","80000","-1600","-1.96","80700","80800","80000","17907523","1437355033344","477582604000000","5969782550"
"2024/06/20","81600","400","0.49","81500","82200","81200","20288913","1658024402539","487134256080000","5969782550"
"2024/06/19","81200","1400","1.75","81100","82500","80500","24168863","1965912177220","484746343060000","5969782550"
"2024/06/18","79800","1700","2.18","78700","80200","78600","18207598","1451893499146","476388647490000","5969782550"
"2024/06/17","78100","-1500","-1.88","79200","79500","78000","16123051","1267630623100","466240017155000","5969782550"
