통계표,구분코드,계정항목,단위,변환,2024/07
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","대전","2021.6=100","원자료","98.8"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","울산","2021.6=100","원자료","96.2"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","세종","2021.6=100","원자료","96.7"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","강원","2021.6=100","원자료","100.7"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","충북","2021.6=100","원자료","102.2"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","충남","2021.6=100","원자료","97.0"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","전북","2021.6=100","원자료","96.6"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","전남","2021.6=100","원자료","97.3"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","경북","2021.6=100","원자료","100.0"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","경남","2021.6=100","원자료","96.6"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","제주","2021.6=100","원자료","99.5"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","6대광역시","2021.6=100","원자료","96.6"
"4.4.3.1. 유형별 주택매매가격지수","연립다세대","9개도","2021.6=100","원자료","98.5"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","전국","2021.6=100","원자료","103.9"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","수도권","2021.6=100","원자료","106.0"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","지방","2021.6=100","원자료","103.2"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","5대광역시","2021.6=100","원자료","103.8"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","8개도","2021.6=100","원자료","103.0"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","서울","2021.6=100","원자료","106.5"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","경기","2021.6=100","원자료","105.9"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","인천","2021.6=100","원자료","104.8"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","부산","2021.6=100","원자료","103.0"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","대구","2021.6=100","원자료","104.2"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","광주","2021.6=100","원자료","104.8"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","대전","2021.6=100","원자료","105.2"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","울산","2021.6=100","원자료","102.5"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","세종","2021.6=100","원자료","106.2"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","강원","2021.6=100","원자료","104.2"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","충북","2021.6=100","원자료","103.6"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","충남","2021.6=100","원자료","102.8"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","전북","2021.6=100","원자료","102.7"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","전남","2021.6=100","원자료","104.8"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","경북","2021.6=100","원자료","103.3"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","경남","2021.6=100","원자료","101.0"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","제주","2021.6=100","원자료","101.7"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","6대광역시","2021.6=100","원자료","104.0"
"4.4.3.1. 유형별 주택매매가격지수","단독주택","9개도","2021.6=100","원자료","103.6"
