일자,원/g_종가,원/g_대비,원/g_등락률,원/g_시가,원/g_고가,원/g_저가,$/온스_종가,$/온스_대비,$/온스_등락률,$/온스_시가,$/온스_고가,$/온스_저가
"2022/09/23","75790","620","0.82","75780","75860","75520","1672.70","14.10","0.85","1672.05","1675.97","1668.25"
"2022/09/22","75170","240","0.32","74820","75420","74680","1658.60","-12.96","-0.78","1669.10","1669.58","1656.84"
"2022/09/21","74930","130","0.17","74420","75160","74350","1671.57","-2.79","-0.17","1665.85","1676.16","1661.79"
"2022/09/20","74800","150","0.20","75080","75100","74640","1674.36","8.33","0.50","1675.74","1679.31","1670.45"
"2022/09/19","74650","570","0.77","74900","74970","74550","1666.03","6.04","0.36","1678.50","1680.02","1664.90"
"2022/09/16","74080","-1530","-2.02","74490","74820","74060","1659.98","-27.32","-1.62","1662.45","1667.59","1659.65"
"2022/09/15","75610","-460","-0.60","75920","76130","75500","1687.30","-13.71","-0.81","1697.75","1698.42","1686.33"
"2022/09/14","76070","-60","-0.08","75180","76350","75160","1701.01","-22.83","-1.32","1702.45","1705.25","1697.75"
"2022/09/13","76130","-180","-0.24","76580","76640","76010","1723.84","4.96","0.29","1724.95","1727.45","1720.15"
"2022/09/08","76310","730","0.97","76400","76420","76030","1718.88","20.59","1.21","1716.67","1719.71","1713.65"
"2022/09/07","75580","-240","-0.32","75060","75710","75040","1698.30","-20.85","-1.21","1701.95","1703.85","1691.54"
"2022/09/06","75820","390","0.52","75550","75990","75330","1719.14","8.48","0.50","1713.45","1726.05","1713.21"
"2022/09/05","75430","850","1.14","74880","75730","74830","1710.66","8.25","0.48","1709.35","1714.06","1707.93"
"2022/09/02","74580","250","0.34","73900","74580","73850","1702.41","-3.90","-0.23","1696.55","1702.45","1695.99"
"2022/09/01","74330","300","0.41","73490","74360","73450","1706.31","-15.05","-0.87","1708.85","1709.88","1702.35"
"2022/08/31","74030","-1010","-1.35","74610","74930","74030","1721.37","-11.84","-0.68","1723.20","1726.55","1720.75"
"2022/08/30","75040","150","0.20","75430","75550","75030","1733.20","8.29","0.48","1737.40","1740.72","1733.01"
"2022/08/29","74890","-350","-0.47","74260","75030","74220","1724.91","-32.88","-1.87","1735.00","1736.02","1721.28"
"2022/08/26","75240","-340","-0.45","75410","75420","75080","1757.80","-2.85","-0.16","1756.60","1758.79","1752.45"
"2022/08/25","75580","280","0.37","75620","75630","75300","1760.65","15.61","0.89","1752.41","1760.65","1750.00"
"2022/08/24","75300","190","0.25","75540","75700","75160","1745.05","8.86","0.51","1746.15","1753.55","1740.40"
"2022/08/23","75110","60","0.08","74740","75110","74730","1736.18","-6.03","-0.35","1735.15","1740.50","1734.45"
"2022/08/22","75050","160","0.21","74460","75190","74400","1742.21","-14.69","-0.84","1746.75","1749.03","1742.20"
