일자,원/g_종가,원/g_대비,원/g_등락률,원/g_시가,원/g_고가,원/g_저가,$/온스_종가,$/온스_대비,$/온스_등락률,$/온스_시가,$/온스_고가,$/온스_저가
"2024/09/20","111050","970","0.88","110560","111120","110410","2598.86","22.59","0.88","2587.12","2599.72","2585.07"
"2024/09/19","110080","330","0.30","109320","110220","109080","2576.27","8.69","0.34","2557.40","2578.68","2551.64"
"2024/09/13","109750","1260","1.16","110320","110360","109500","2567.58","46.99","1.86","2557.75","2570.35","2556.82"
"2024/09/12","108490","-210","-0.19","108360","108560","108090","2520.59","-4.50","-0.18","2512.35","2521.95","2511.11"
"2024/09/11","108700","480","0.44","108810","108870","108340","2525.09","20.12","0.80","2517.70","2525.96","2515.11"
"2024/09/10","108220","1080","1.01","108060","108410","108040","2504.97","17.68","0.71","2506.28","2507.72","2500.75"
"2024/09/09","107140","-430","-0.40","107530","107700","107110","2487.30","-32.80","-1.30","2496.12","2500.47","2486.84"
"2024/09/06","107570","-40","-0.04","107930","108020","107400","2520.09","14.63","0.58","2517.35","2521.60","2513.14"
"2024/09/05","107610","170","0.16","107210","107630","106970","2505.47","15.76","0.63","2495.93","2506.72","2493.93"
"2024/09/04","107440","-200","-0.19","107890","107900","107420","2489.70","-6.13","-0.25","2494.25","2496.86","2489.66"
"2024/09/03","107640","20","0.02","107490","107850","107340","2495.84","-5.18","-0.21","2497.85","2498.51","2490.33"
"2024/09/02","107620","-650","-0.60","107630","107820","107240","2501.01","-19.56","-0.78","2502.85","2505.05","2490.45"
"2024/08/30","108270","360","0.33","107970","108360","107810","2520.57","3.10","0.12","2520.30","2523.11","2512.39"
"2024/08/29","107910","40","0.04","107800","108170","107740","2517.47","11.77","0.47","2507.75","2521.16","2506.53"
"2024/08/28","107870","300","0.28","108120","108240","107760","2505.71","-7.93","-0.32","2526.65","2527.28","2504.20"
"2024/08/27","107570","340","0.32","107630","107740","107150","2513.64","-0.07","0.00","2517.50","2517.55","2505.95"
"2024/08/26","107230","-80","-0.07","107420","107430","106630","2513.72","20.57","0.83","2515.99","2516.75","2508.91"
"2024/08/23","107310","-200","-0.19","107370","107460","107090","2493.14","-12.26","-0.49","2485.75","2495.72","2485.65"
"2024/08/22","107510","-600","-0.55","107860","107950","107350","2505.41","-10.28","-0.41","2513.35","2514.43","2499.78"
"2024/08/21","108110","790","0.74","107780","108270","107250","2515.68","11.85","0.47","2515.75","2519.93","2511.20"
"2024/08/20","107320","-100","-0.09","107420","107560","106770","2503.83","-0.81","-0.03","2503.15","2507.26","2497.60"
"2024/08/19","107420","230","0.21","108780","108910","106960","2504.64","48.78","1.99","2503.95","2506.85","2495.65"
"2024/08/16","107190","-670","-0.62","107250","107850","107050","2455.85","-9.77","-0.40","2456.35","2459.97","2450.90"
"2024/08/14","107860","-670","-0.62","108280","108300","107360","2465.62","2.42","0.10","2464.65","2472.15","2456.03"
"2024/08/13","108530","1090","1.01","108960","109200","108280","2463.20","27.50","1.13","2474.45","2476.89","2458.61"
"2024/08/12","107440","1250","1.18","106490","107470","106430","2435.70","15.29","0.63","2427.50","2436.40","2423.99"
