"시도별",2020,2021,2022
"전국",40115,43415,45588
"서울특별시",53474,59498,63778
"부산광역시",31112,32832,34263
"대구광역시",29509,31558,34000
"인천광역시",34505,37828,39748
"광주광역시",33187,34787,36826
"대전광역시",35367,36934,39378
"울산광역시",53378,57151,56854
"세종특별자치시",41899,45005,46146
"경기도",41282,44754,47144
"강원특별자치도",31285,33317,35422
"충청북도",37858,40982,44535
"충청남도",42810,46639,48067
"전북특별자치도",31318,34592,37379
"전라남도",40489,40067,36035
"경상북도",34955,37956,38168
"경상남도",32777,33986,35722
"제주특별자치도",31825,36153,36865
