일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/09/20","55800","-600","-1.06","56400","57000","55800","14041465","788331519815","333113866290000","5969782550"
"2022/09/19","56400","200","0.36","56300","57000","56000","12278653","693636680000","336695735820000","5969782550"
"2022/09/16","56200","200","0.36","55600","56400","55500","13456503","752455682838","335501779310000","5969782550"
"2022/09/15","56000","-800","-1.41","57000","57100","56000","11664819","657641711500","334307822800000","5969782550"
"2022/09/14","56800","-1300","-2.24","56200","57200","56100","12524961","709906007000","339083648840000","5969782550"
"2022/09/13","58100","2500","4.50","57000","58500","56800","17166581","991015891355","346844366155000","5969782550"
"2022/09/08","55600","-400","-0.71","56200","56400","55600","18000016","1006366398000","331919909780000","5969782550"
"2022/09/07","56000","-1100","-1.93","56700","56700","55900","17384854","975695179700","334307822800000","5969782550"
"2022/09/06","57100","0","0.00","57200","57600","56900","7503086","429152038700","340874583605000","5969782550"
"2022/09/05","57100","-400","-0.70","57400","57800","56800","11425977","653884056584","340874583605000","5969782550"
"2022/09/02","57500","-900","-1.54","58300","58600","57500","15040310","872040367551","343262496625000","5969782550"
"2022/09/01","58400","-1300","-2.18","58700","58900","58300","14905777","872374620601","348635300920000","5969782550"
"2022/08/31","59700","900","1.53","58200","59900","58200","14203512","841319635900","356396018235000","5969782550"
"2022/08/30","58800","200","0.34","58700","59000","58300","9690044","567627668500","351023213940000","5969782550"
"2022/08/29","58600","-1400","-2.33","58700","58900","58600","9841329","577684200900","349829257430000","5969782550"
"2022/08/26","60000","300","0.50","60300","60900","59900","9499995","573040309950","358186953000000","5969782550"
"2022/08/25","59700","700","1.19","59200","59700","59000","5767902","342780937200","356396018235000","5969782550"
"2022/08/24","59000","-100","-0.17","59200","59500","59000","8888486","525406965200","352217170450000","5969782550"
"2022/08/23","59100","-900","-1.50","59000","59600","59000","9041629","535657353300","352814148705000","5969782550"
"2022/08/22","60000","-900","-1.48","60300","60400","59800","8259865","495732266100","358186953000000","5969782550"
"2022/08/19","60900","-600","-0.98","61400","61600","60600","6923679","421908759900","363559757295000","5969782550"
"2022/08/18","61500","1100","1.82","60300","61900","60000","16372754","997986949000","367141626825000","5969782550"
"2022/08/17","60400","-600","-0.98","61100","61200","60300","9061518","550059085700","360574866020000","5969782550"
"2022/08/16","61000","800","1.33","60500","61600","60300","15036727","917516142200","364156735550000","5969782550"
"2022/08/12","60200","300","0.50","59500","60700","59400","10786658","648793200100","359380909510000","5969782550"
"2022/08/11","59900","800","1.35","59600","60000","59300","15141941","903738904000","357589974745000","5969782550"
"2022/08/10","59100","-900","-1.50","58900","59200","58600","18084349","1065592854894","352814148705000","5969782550"
"2022/08/09","60000","-800","-1.32","60600","60700","59600","18251170","1094260322600","358186953000000","5969782550"
"2022/08/08","60800","-700","-1.14","61400","61400","60600","11313150","689020306900","362962779040000","5969782550"
"2022/08/05","61500","0","0.00","61700","61900","61200","9567620","588582544800","367141626825000","5969782550"
"2022/08/04","61500","200","0.33","61700","61800","61200","9125439","561835808800","367141626825000","5969782550"
"2022/08/03","61300","-400","-0.65","61600","61600","61000","10053861","615480978400","365947670315000","5969782550"
"2022/08/02","61700","400","0.65","61200","61900","61000","13614895","837567187000","368335583335000","5969782550"
"2022/08/01","61300","-100","-0.16","61000","61700","60300","13154816","803034710500","365947670315000","5969782550"
"2022/07/29","61400","-500","-0.81","62400","62600","61300","15093120","932917972000","366544648570000","5969782550"
"2022/07/28","61900","100","0.16","62300","62600","61600","10745302","667085256100","369529539845000","5969782550"
"2022/07/27","61800","100","0.16","61300","61900","61200","7320997","449989960800","368932561590000","5969782550"
"2022/07/26","61700","600","0.98","60800","61900","60800","6597211","405310045900","368335583335000","5969782550"
"2022/07/25","61100","-200","-0.33","60900","61900","60800","9193681","565540190900","364753713805000","5969782550"
"2022/07/22","61300","-500","-0.81","61800","62200","61200","10261310","631872940300","365947670315000","5969782550"
"2022/07/21","61800","1300","2.15","61100","61900","60700","12291374","754854999650","368932561590000","5969782550"
"2022/07/20","60500","-400","-0.66","61800","62100","60500","16782238","1025939109200","361171844275000","5969782550"
"2022/07/19","60900","-1000","-1.62","61400","61500","60200","15248261","925919721166","363559757295000","5969782550"
"2022/07/18","61900","1900","3.17","60600","62000","60500","20832517","1277727157981","369529539845000","5969782550"
"2022/07/15","60000","2500","4.35","58400","60000","58100","18685583","1104045143300","358186953000000","5969782550"
"2022/07/14","57500","-500","-0.86","57500","58200","57400","15067012","869131233435","343262496625000","5969782550"
"2022/07/13","58000","-100","-0.17","58300","58600","58000","10841315","631711977700","346247387900000","5969782550"
"2022/07/12","58100","-700","-1.19","58600","58700","58100","9336061","544403361000","346844366155000","5969782550"
"2022/07/11","58800","100","0.17","59300","59600","58700","13042624","771042671500","351023213940000","5969782550"
"2022/07/08","58700","500","0.86","58600","59300","58200","15339271","902198939736","350426235685000","5969782550"
"2022/07/07","58200","1800","3.19","56400","58700","56300","21322833","1234677644065","347441344410000","5969782550"
"2022/07/06","56400","-800","-1.40","57300","57300","56400","16820461","955957046500","336695735820000","5969782550"
"2022/07/05","57200","100","0.18","57600","58200","57200","14216539","818079785900","341471561860000","5969782550"
"2022/07/04","57100","900","1.60","56100","57400","55700","17807126","1012586831300","340874583605000","5969782550"
"2022/07/01","56200","-800","-1.40","56900","57500","55900","24982097","1412473217495","335501779310000","5969782550"
"2022/06/30","57000","-1000","-1.72","57200","57600","57000","18915142","1082799462452","340277605350000","5969782550"
"2022/06/29","58000","-1400","-2.36","58500","58800","58000","14677138","855770425874","346247387900000","5969782550"
"2022/06/28","59400","600","1.02","59200","59500","58700","13540538","800041009700","354605083470000","5969782550"
"2022/06/27","58800","400","0.68","59000","59900","58300","18122236","1071186745402","351023213940000","5969782550"
"2022/06/24","58400","1000","1.74","57900","59100","57700","23256103","1359292776100","348635300920000","5969782550"
"2022/06/23","57400","-200","-0.35","57700","58000","56800","28338608","1627019443340","342665518370000","5969782550"
"2022/06/22","57600","-900","-1.54","59000","59100","57600","23334687","1360076149300","343859474880000","5969782550"
"2022/06/21","58500","-200","-0.34","58700","59200","58200","25148109","1474998298400","349232279175000","5969782550"
"2022/06/20","58700","-1100","-1.84","59800","59900","58100","34111306","1997076972175","350426235685000","5969782550"
"2022/06/17","59800","-1100","-1.81","59400","59900","59400","29053450","1732449618748","356992996490000","5969782550"
"2022/06/16","60900","200","0.33","61300","61800","60500","23394895","1431052309321","363559757295000","5969782550"
"2022/06/15","60700","-1200","-1.94","61300","61500","60200","26811224","1630190882434","362365800785000","5969782550"
"2022/06/14","61900","-200","-0.32","61200","62200","61100","24606419","1519195265000","369529539845000","5969782550"
"2022/06/13","62100","-1700","-2.66","62400","62800","62100","22157816","1380636801900","370723496355000","5969782550"
"2022/06/10","63800","-1400","-2.15","64000","64400","63800","22193552","1419245099700","380872126690000","5969782550"
"2022/06/09","65200","-100","-0.15","65100","65200","64500","25790725","1673763680952","389229822260000","5969782550"
"2022/06/08","65300","-200","-0.31","65400","65700","65300","12483180","817379109300","389826800515000","5969782550"
"2022/06/07","65500","-1300","-1.95","66200","66400","65400","19355755","1273444989300","391020757025000","5969782550"
"2022/06/03","66800","100","0.15","67200","67300","66800","8222883","550654655700","398781474340000","5969782550"
"2022/06/02","66700","-700","-1.04","66600","67000","66400","14959443","996681075588","398184496085000","5969782550"
"2022/05/31","67400","-300","-0.44","67500","67500","66700","24365002","1637773742750","402363343870000","5969782550"
"2022/05/30","67700","1200","1.80","67500","67800","66900","14255484","960592764000","404154278635000","5969782550"
"2022/05/27","66500","600","0.91","66700","66900","66200","11405555","759034579700","396990539575000","5969782550"
"2022/05/26","65900","-500","-0.75","66300","67200","65500","15970890","1057298883100","393408670045000","5969782550"
"2022/05/25","66400","-100","-0.15","66700","67100","65900","15150490","1007805029400","396393561320000","5969782550"
"2022/05/24","66500","-1400","-2.06","67500","67700","66500","15482576","1035492905500","396990539575000","5969782550"
"2022/05/23","67900","-100","-0.15","68800","68800","67600","13684088","931341158100","405348235145000","5969782550"
"2022/05/20","68000","500","0.74","67800","68400","67700","12109671","824048609800","405945213400000","5969782550"
"2022/05/19","67500","-600","-0.88","66500","67600","66500","17073727","1147743790508","402960322125000","5969782550"
"2022/05/18","68100","500","0.74","68300","68700","67600","16486319","1122585202585","406542191655000","5969782550"
"2022/05/17","67600","1300","1.96","66600","67900","66600","15680447","1058322764800","403557300380000","5969782550"
"2022/05/16","66300","-200","-0.30","67100","67400","66100","11937555","796060691900","395796583065000","5969782550"
"2022/05/13","66500","1600","2.47","65300","66700","65200","14551536","962476162900","396990539575000","5969782550"
"2022/05/12","64900","-800","-1.22","65200","65500","64900","16414188","1069685385550","387438887495000","5969782550"
"2022/05/11","65700","0","0.00","65500","66300","65200","12330920","812298026600","392214713535000","5969782550"
"2022/05/10","65700","-400","-0.61","65900","66300","65300","17235605","1132067708900","392214713535000","5969782550"
"2022/05/09","66100","-400","-0.60","66300","66900","66100","11858736","787562955000","394602626555000","5969782550"
"2022/05/06","66500","-1400","-2.06","67000","67100","66500","14356156","957335193600","396990539575000","5969782550"
"2022/05/04","67900","400","0.59","68000","68400","67500","11505248","781073326235","405348235145000","5969782550"
"2022/05/03","67500","200","0.30","67400","68400","67300","14168875","962643054300","402960322125000","5969782550"
"2022/05/02","67300","-100","-0.15","66600","67600","66500","14106184","946016270200","401766365615000","5969782550"
"2022/04/29","67400","2600","4.01","65100","67600","65000","26190390","1747030218800","402363343870000","5969782550"
"2022/04/28","64800","-200","-0.31","65400","65500","64500","16895527","1094277578880","386841909240000","5969782550"
"2022/04/27","65000","-1100","-1.66","65400","65500","64900","18122084","1179918512650","388035865750000","5969782550"
