일자,전체,SK에너지,GS칼텍스,현대오일뱅크,S-OIL,알뜰주유소,자가상표
"2024/09/20","1444.03","1454.18","1452.71","1443.96","1440.34","1416.17","1429.32"
"2024/09/19","1447.78","1457.55","1457.00","1447.86","1443.79","1420.35","1430.41"
"2024/09/18","1450.25","1460.99","1458.93","1450.38","1445.93","1422.25","1429.88"
"2024/09/17","1451.71","1462.31","1459.86","1451.75","1448.09","1423.86","1431.91"
"2024/09/16","1452.92","1463.62","1460.93","1452.68","1449.45","1424.78","1438.55"
"2024/09/15","1454.06","1464.97","1461.94","1453.64","1450.59","1426.07","1438.98"
"2024/09/14","1455.65","1466.88","1463.87","1454.89","1452.08","1427.33","1439.17"
"2024/09/13","1459.38","1470.25","1467.42","1459.35","1455.37","1431.59","1442.70"
"2024/09/12","1463.45","1474.02","1472.01","1463.15","1459.27","1436.17","1448.32"
"2024/09/11","1468.18","1478.67","1476.58","1467.51","1463.98","1442.00","1453.60"
"2024/09/10","1473.95","1484.01","1483.05","1473.05","1468.82","1449.49","1460.03"
"2024/09/09","1478.58","1489.24","1487.24","1477.39","1473.07","1454.85","1463.53"
"2024/09/08","1481.37","1492.55","1490.20","1479.48","1476.10","1457.13","1466.31"
"2024/09/07","1482.78","1494.07","1491.71","1480.62","1477.81","1458.10","1467.63"
"2024/09/06","1486.26","1496.90","1495.82","1484.84","1480.83","1461.54","1469.44"
"2024/09/05","1489.49","1499.80","1498.91","1488.58","1484.07","1464.68","1472.55"
"2024/09/04","1493.27","1503.61","1502.52","1492.82","1487.77","1468.00","1476.45"
"2024/09/03","1496.54","1506.90","1505.47","1495.76","1491.71","1471.24","1478.64"
"2024/09/02","1498.88","1509.22","1507.64","1498.14","1494.22","1473.50","1480.62"
"2024/09/01","1500.53","1510.91","1509.53","1499.36","1496.50","1474.30","1483.88"
"2024/08/31","1501.85","1512.26","1511.37","1500.54","1497.86","1474.91","1485.44"
"2024/08/30","1503.83","1514.11","1513.21","1503.15","1499.86","1476.18","1487.55"
"2024/08/29","1506.02","1516.06","1515.94","1505.69","1501.63","1478.21","1488.52"
"2024/08/28","1508.18","1518.45","1517.95","1508.08","1503.34","1480.41","1490.56"
"2024/08/27","1510.15","1520.22","1519.81","1510.13","1505.37","1482.79","1492.17"
"2024/08/26","1512.46","1522.35","1522.26","1511.84","1507.76","1486.23","1494.45"
"2024/08/25","1514.07","1524.44","1523.50","1512.85","1509.84","1487.56","1497.34"
"2024/08/24","1515.24","1525.69","1524.89","1513.96","1511.09","1488.19","1498.04"
"2024/08/23","1517.69","1527.81","1527.03","1517.01","1513.68","1490.54","1499.87"
"2024/08/22","1521.15","1530.91","1531.01","1520.82","1516.78","1493.81","1504.83"
"2024/08/21","1524.55","1534.49","1534.47","1523.97","1520.47","1496.63","1509.39"
"2024/08/20","1527.40","1536.94","1537.54","1527.09","1523.17","1499.77","1511.54"
"2024/08/19","1529.64","1538.96","1539.64","1528.93","1525.32","1503.62","1513.23"
"2024/08/18","1530.03","1539.59","1540.12","1528.99","1525.97","1503.87","1509.85"
"2024/08/17","1530.64","1540.21","1540.80","1529.46","1526.56","1504.66","1510.35"
"2024/08/16","1531.77","1541.25","1541.53","1531.32","1527.58","1505.32","1513.52"
"2024/08/15","1532.19","1541.73","1541.66","1531.52","1528.24","1505.97","1513.65"
"2024/08/14","1533.09","1542.63","1542.83","1532.44","1528.95","1506.71","1514.50"
"2024/08/13","1534.35","1543.75","1543.97","1533.76","1530.64","1507.68","1514.61"
"2024/08/12","1536.02","1545.43","1545.35","1535.29","1532.17","1510.39","1515.73"
"2024/08/11","1537.06","1546.77","1546.49","1535.75","1533.58","1511.20","1516.77"
"2024/08/10","1537.85","1547.43","1547.81","1536.48","1534.38","1511.30","1520.07"
"2024/08/09","1539.69","1549.15","1549.78","1538.77","1535.56","1513.62","1521.58"
"2024/08/08","1541.15","1550.20","1551.04","1540.58","1536.89","1515.67","1524.56"
"2024/08/07","1542.62","1551.69","1552.42","1542.35","1538.36","1516.76","1526.30"
"2024/08/06","1544.30","1553.18","1554.02","1544.37","1540.21","1517.96","1528.71"
"2024/08/05","1545.59","1554.71","1554.92","1545.76","1541.53","1519.12","1530.37"
"2024/08/04","1545.77","1555.06","1555.16","1545.58","1541.84","1519.22","1531.49"
"2024/08/03","1546.08","1555.51","1555.56","1545.89","1542.11","1519.04","1532.88"
"2024/08/02","1546.96","1555.70","1556.01","1547.58","1543.33","1520.19","1531.46"
"2024/08/01","1547.06","1556.01","1556.28","1548.07","1542.54","1520.18","1533.80"
"2024/07/31","1547.88","1556.49","1558.48","1548.65","1542.91","1520.93","1532.53"
"2024/07/30","1548.59","1557.15","1559.59","1549.28","1543.66","1521.13","1533.11"
"2024/07/29","1549.11","1557.60","1560.12","1549.77","1544.40","1521.50","1533.43"
"2024/07/28","1548.81","1557.21","1559.74","1549.22","1544.29","1521.61","1534.01"
"2024/07/27","1548.94","1557.43","1559.65","1549.50","1544.43","1521.57","1534.33"
"2024/07/26","1549.59","1557.96","1560.23","1550.49","1545.05","1522.06","1534.83"
"2024/07/25","1549.97","1558.46","1560.54","1550.95","1545.22","1522.55","1534.89"
"2024/07/24","1550.22","1558.41","1560.99","1551.39","1545.40","1522.84","1536.09"
"2024/07/23","1550.59","1558.58","1561.32","1551.94","1545.95","1523.18","1536.58"
"2024/07/22","1550.54","1558.68","1561.07","1551.96","1546.00","1522.72","1536.66"
"2024/07/21","1549.77","1557.96","1560.34","1550.56","1545.80","1521.76","1537.25"
"2024/07/20","1549.81","1558.03","1560.35","1550.61","1545.78","1522.07","1536.25"
"2024/07/19","1550.02","1557.95","1560.74","1551.64","1545.50","1522.03","1535.55"
"2024/07/18","1549.44","1557.48","1559.86","1551.09","1545.25","1521.28","1532.13"
"2024/07/17","1549.23","1557.26","1559.91","1550.93","1544.92","1520.84","1531.18"
"2024/07/16","1548.83","1556.48","1560.16","1550.61","1544.84","1519.50","1531.79"
"2024/07/15","1548.59","1556.62","1560.18","1550.16","1544.35","1518.88","1531.55"
"2024/07/14","1547.09","1555.42","1558.67","1547.96","1543.27","1517.52","1526.93"
"2024/07/13","1546.79","1555.10","1558.42","1547.70","1542.48","1517.83","1527.51"
"2024/07/12","1546.05","1554.20","1557.50","1547.83","1541.38","1516.56","1529.30"
"2024/07/11","1544.73","1552.55","1556.40","1546.73","1539.90","1515.55","1526.79"
"2024/07/10","1543.44","1551.01","1556.21","1545.42","1537.94","1514.34","1525.17"
"2024/07/09","1541.87","1549.82","1554.26","1543.51","1536.51","1512.93","1523.43"
"2024/07/08","1538.36","1546.51","1551.14","1540.51","1532.97","1507.01","1525.90"
"2024/07/07","1534.33","1542.02","1547.81","1535.09","1529.44","1504.15","1526.01"
"2024/07/06","1532.71","1540.30","1546.60","1533.29","1527.63","1502.83","1523.97"
"2024/07/05","1528.95","1536.13","1543.53","1528.17","1524.41","1500.25","1521.93"
"2024/07/04","1524.84","1531.52","1539.55","1524.33","1519.95","1497.33","1515.42"
"2024/07/03","1519.53","1526.94","1528.71","1520.00","1517.48","1492.19","1513.59"
"2024/07/02","1516.22","1524.03","1525.50","1516.75","1513.30","1489.28","1509.33"
"2024/07/01","1511.73","1520.11","1521.11","1512.92","1507.50","1484.40","1505.71"
"2024/06/30","1502.88","1511.24","1512.81","1503.58","1497.36","1477.88","1496.04"
"2024/06/29","1499.60","1508.06","1509.72","1500.43","1494.09","1473.90","1492.21"
"2024/06/28","1495.18","1503.71","1505.48","1496.99","1489.44","1467.65","1487.64"
"2024/06/27","1491.92","1500.53","1502.53","1493.54","1486.29","1464.23","1479.44"
"2024/06/26","1488.69","1497.39","1498.22","1490.25","1483.34","1462.09","1476.47"
"2024/06/25","1486.02","1494.80","1495.75","1486.67","1480.74","1460.39","1474.83"
"2024/06/24","1483.55","1492.46","1493.21","1483.64","1478.45","1458.37","1473.07"
"2024/06/23","1481.58","1490.42","1491.53","1481.69","1476.62","1455.99","1470.23"
"2024/06/22","1480.94","1489.90","1491.01","1480.50","1476.04","1455.76","1469.35"
"2024/06/21","1479.38","1488.62","1489.54","1478.96","1474.06","1454.21","1466.25"
"2024/06/20","1478.52","1488.00","1488.78","1478.11","1472.79","1453.48","1464.54"
"2024/06/19","1478.00","1487.68","1487.90","1477.50","1472.30","1453.16","1464.30"
