RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
54,Jordan PooleWSH,SG,78,30.1,17.4,6.3,15.2,41.3,2.4,7.2,32.6,2.5,2.8,87.7,2.7,4.4,1.1,0.3,2.4,4,0
55,Brandon MillerCHA,F,74,32.2,17.3,6.4,14.6,44,2.5,6.7,37.3,1.9,2.3,82.7,4.3,2.4,0.9,0.6,1.8,1,0
56,Tobias HarrisPHI,F,70,33.8,17.2,6.6,13.6,48.7,1.3,3.7,35.3,2.7,3,87.8,6.5,3.1,1,0.7,1.3,9,0
57,Myles TurnerIND,C,77,27,17.1,6.2,11.8,52.4,1.5,4.2,35.8,3.2,4.1,77.3,6.9,1.3,0.5,1.9,1.4,17,0
58,Immanuel QuickleyTOR/NY,SG,68,29.2,17,5.7,13.1,43.4,2.5,6.4,39.5,3.1,3.6,85.3,3.8,4.9,0.7,0.1,1.5,8,0
59,Bogdan BogdanovicATL,SG,79,30.4,16.9,6,13.9,42.8,3,8.1,37.4,1.9,2.1,92.1,3.4,3.1,1.2,0.3,1.4,1,0
60,Michael Porter Jr.DEN,SF,81,31.7,16.7,6.4,13.3,48.4,2.7,6.8,39.7,1.1,1.4,83.6,7,1.5,0.5,0.7,1.1,14,0
61,James HardenLAC,SG,72,34.3,16.6,4.9,11.4,42.8,2.6,6.8,38.1,4.2,4.8,87.8,5.1,8.5,1.1,0.8,2.6,23,3
62,Chet HolmgrenOKC,PF,82,29.4,16.5,6.2,11.6,53,1.6,4.3,37,2.7,3.4,79.3,7.9,2.4,0.6,2.3,1.6,23,0
63,Jarrett AllenCLE,C,77,31.7,16.5,6.7,10.6,63.4,0,0.1,0,3,4.1,74.2,10.5,2.7,0.7,1.1,1.6,42,0
64,Jonathan KumingaGS,PF,74,26.4,16.1,6.2,11.6,52.9,0.7,2.2,32.1,3,4,74.6,4.8,2.2,0.7,0.5,1.6,5,0
65,Austin ReavesLAL,SG,82,32.1,15.9,5.6,11.5,48.6,1.9,5.1,36.7,2.8,3.3,85.3,4.3,5.5,0.8,0.3,2.1,9,1
66,Keldon JohnsonSA,SF,69,29.5,15.7,5.7,12.5,45.4,1.8,5.3,34.6,2.5,3.2,79.2,5.5,2.8,0.7,0.3,1.4,9,0
67,Donte DiVincenzoNY,SG,81,29.1,15.5,5.5,12.4,44.3,3.5,8.7,40.1,1.1,1.4,75.4,3.7,2.7,1.3,0.4,1.4,0,0
68,Kelly Oubre Jr.PHI,SG,68,30.2,15.4,5.7,12.9,44.1,1.5,4.8,31.1,2.6,3.4,75,5,1.5,1.1,0.7,1.3,4,0
69,Malik MonkSAC,SG,72,26,15.4,5.5,12.4,44.3,2.1,5.9,35,2.4,2.8,82.9,2.9,5.1,0.6,0.5,2.1,2,0
70,Jaden IveyDET,PG,77,28.8,15.4,5.4,12.6,42.9,1.6,4.8,33.6,2.9,3.9,74.9,3.4,3.8,0.7,0.5,2.5,2,0
71,Keegan MurraySAC,SF,77,33.6,15.2,5.8,12.7,45.4,2.4,6.6,35.8,1.3,1.6,83.1,5.5,1.7,1,0.8,0.8,8,0
72,Derrick WhiteBOS,PG,73,32.6,15.2,5.3,11.5,46.1,2.7,6.8,39.6,1.9,2.1,90.1,4.2,5.2,1,1.2,1.5,5,1
73,John CollinsUTAH,PF,68,28,15.1,5.8,11,53.2,1.3,3.4,37.1,2.2,2.7,79.5,8.5,1.1,0.6,0.9,1.4,24,0
74,Deni AvdijaWSH,SF,75,30.1,14.7,5.4,10.7,50.6,1.2,3.1,37.4,2.7,3.6,73.9,7.2,3.8,0.8,0.5,2.1,18,0
75,Bennedict MathurinIND,SG,59,26.1,14.5,5,11.2,44.6,1.4,3.6,37.4,3.1,3.8,82.1,4,2,0.6,0.2,1.6,3,0
76,Tim Hardaway Jr.DAL,SF,79,26.8,14.4,5,12.4,40.2,2.7,7.6,35.3,1.8,2.1,85.2,3.2,1.8,0.5,0.1,0.9,0,0
77,Dennis SchroderTOR/BKN,PG,80,31.1,14,5,11.6,43.5,1.7,4.6,37.5,2.2,2.7,83.6,3,6.1,0.8,0.2,1.9,8,0
78,Caris LeVertCLE,SG,68,28.8,14,5.1,12.1,42.1,1.6,4.9,32.5,2.3,3,76.6,4.1,5.1,1.1,0.5,1.7,6,0
78,Scoot HendersonPOR,G,62,28.5,14,5,12.9,38.5,1.4,4.3,32.5,2.7,3.3,81.9,3.1,5.4,0.8,0.2,3.4,8,0
80,Rudy GobertMIN,C,76,34.1,14,5.3,8.1,66.1,0,0,0,3.3,5.1,63.8,12.9,1.3,0.7,2.1,1.6,54,0
81,Norman PowellLAC,G,76,26.2,13.9,4.9,10.1,48.6,2.2,5.1,43.5,1.9,2.3,83.1,2.6,1.1,0.6,0.3,0.9,0,0
82,Aaron GordonDEN,PF,73,31.5,13.9,5.5,9.8,55.6,0.5,1.9,29,2.4,3.7,65.8,6.5,3.5,0.8,0.6,1.4,12,0
83,Jalen DurenDET,C,61,29.1,13.8,5.7,9.2,61.9,0,0.1,0,2.3,3,79,11.6,2.4,0.5,0.8,2.1,44,0
84,Bobby PortisMIL,F,82,24.5,13.8,5.7,11.2,50.8,1.2,3,40.7,1.2,1.5,79,7.4,1.3,0.8,0.4,1.1,17,0
85,Jabari Smith Jr.HOU,PF,76,31.9,13.7,5,11,45.4,1.8,5,36.3,2,2.4,81.1,8.1,1.6,0.7,0.8,1.2,16,0
86,Gary Trent Jr.TOR,SG,71,28.1,13.7,5.1,11.9,42.6,2.5,6.4,39.3,1,1.4,77.1,2.6,1.7,1.1,0.1,0.7,1,0
87,Saddiq BeyATL,SF,63,32.7,13.7,4.6,11.1,41.6,1.8,5.7,31.6,2.7,3.2,83.7,6.5,1.5,0.8,0.2,0.9,8,0
88,Rui HachimuraLAL,PF,68,26.8,13.6,5.3,9.9,53.7,1.4,3.4,42.2,1.5,2,73.9,4.3,1.2,0.6,0.4,0.7,4,0
89,Grayson AllenPHX,SG,75,33.5,13.5,4.5,9.1,49.9,2.7,5.9,46.1,1.7,2,87.8,3.9,3,0.9,0.6,1.3,1,0
90,Naz ReidMIN,C,81,24.2,13.5,5,10.5,47.7,2.1,5,41.4,1.3,1.8,73.6,5.2,1.3,0.8,0.9,1.4,6,0
91,Cameron JohnsonBKN,SF,58,27.6,13.4,4.8,10.7,44.6,2.4,6.1,39.1,1.5,1.9,78.9,4.3,2.4,0.8,0.3,1,1,0
92,Corey KispertWSH,SF,80,25.8,13.4,4.8,9.9,48.6,2.3,6,38.3,1.4,2,72.6,2.8,2,0.5,0.2,1.2,1,0
93,Andrew WigginsGS,SF,71,27,13.2,5,11,45.3,1.3,3.6,35.8,2,2.7,75.1,4.5,1.7,0.6,0.6,1.2,3,0
94,Keyonte GeorgeUTAH,G,75,27,13,4.3,10.9,39.1,2,5.9,33.4,2.5,3,84.8,2.8,4.4,0.5,0.1,2.5,1,0
95,Duncan RobinsonMIA,F,68,28,12.9,4.5,9.9,45,2.8,7,39.5,1.2,1.3,88.9,2.5,2.8,0.7,0.2,1.4,0,0
96,P.J. WashingtonDAL/CHA,PF,73,30.4,12.9,4.8,11.1,43.7,1.8,5.7,32,1.4,2,68.3,5.6,1.9,1,0.8,1.3,4,0
97,Dillon BrooksHOU,SF,72,30.9,12.7,4.6,10.7,42.8,1.8,5.1,35.9,1.7,2,84.4,3.4,1.7,0.9,0.1,1.2,1,0
98,Jalen SuggsORL,SG,75,27,12.6,4.5,9.5,47.1,2,5.1,39.7,1.6,2.1,75.6,3.1,2.7,1.4,0.6,1.8,0,0
99,Brook LopezMIL,C,79,30.5,12.5,4.6,9.6,48.5,1.9,5.1,36.6,1.4,1.7,82.1,5.2,1.6,0.5,2.4,1,5,0
100,Jrue HolidayBOS,PG,69,32.8,12.5,4.8,10,48,2,4.7,42.9,0.9,1,83.3,5.4,4.8,0.9,0.8,1.8,7,0
101,Josh GiddeyOKC,SG,80,25.2,12.3,5,10.6,47.5,1,3,33.7,1.3,1.6,80.6,6.4,4.8,0.7,0.6,2.1,10,3
102,Jonas ValanciunasNO,C,82,23.5,12.2,4.9,8.8,55.9,0.5,1.5,30.8,2,2.5,78.5,8.8,2.1,0.4,0.8,1.4,33,0
103,Harrison BarnesSAC,SF,82,29,12.2,4.2,8.9,47.4,1.8,4.7,38.7,1.9,2.4,80.1,3,1.2,0.7,0.1,0.7,0,0
104,Max StrusCLE,SG,70,32,12.2,4.3,10.4,41.8,2.4,6.8,35.1,1.1,1.4,79.4,4.8,4,0.9,0.4,1.6,5,1
105,Aaron NesmithIND,SF,72,27.7,12.2,4.4,8.8,49.6,1.9,4.6,41.9,1.5,1.9,78.1,3.8,1.5,0.9,0.7,0.9,1,0
106,Ayo DosunmuCHI,SG,76,29.1,12.2,4.7,9.5,50.1,1.6,3.9,40.3,1.1,1.4,81,2.8,3.2,0.9,0.5,1.4,1,0
107,Buddy HieldIND/PHI,SG,84,25.7,12.1,4.4,10.1,43.6,2.6,6.8,38.6,0.6,0.7,88.1,3.2,2.8,0.8,0.5,1.2,1,0
108,Tyus JonesWSH,PG,66,29.3,12,4.9,10.1,48.9,1.6,3.9,41.4,0.5,0.6,80,2.7,7.3,1.1,0.3,1,9,1
109,Jaime Jaquez Jr.MIA,G,75,28.2,11.9,4.5,9.3,48.9,0.9,2.7,32.2,1.9,2.3,81.1,3.8,2.6,1,0.3,1.5,1,0
110,Nic ClaxtonBKN,C,71,29.8,11.8,5.2,8.2,62.9,0,0.1,20,1.5,2.8,55.1,9.9,2.1,0.6,2.1,1.3,30,0
111,Ivica ZubacLAC,C,68,26.4,11.7,5,7.6,64.9,0,0,0,1.8,2.4,72.3,9.2,1.4,0.3,1.2,1.2,23,0
112,Jeremy SochanSA,F,74,29.6,11.6,4.6,10.5,43.8,0.9,3.1,30.8,1.5,1.9,77.1,6.4,3.4,0.8,0.5,1.9,7,0
113,Cole AnthonyORL,PG,81,22.4,11.6,4.1,9.4,43.5,1.1,3.4,33.8,2.2,2.7,82.6,3.8,2.9,0.8,0.5,1.6,3,0
114,Clint CapelaATL,C,73,25.8,11.5,4.8,8.5,57.1,0,0,0,1.8,2.8,63.1,10.6,1.2,0.6,1.5,1,38,0
115,Mike ConleyMIN,PG,76,28.9,11.4,3.9,8.5,45.7,2.4,5.3,44.2,1.3,1.5,91.1,2.9,5.9,1.2,0.2,1.3,5,0
116,Malik BeasleyMIL,SG,79,29.6,11.3,4.1,9.1,44.3,2.8,6.9,41.3,0.3,0.4,71.4,3.7,1.4,0.7,0.1,0.7,1,0
117,Zach CollinsSA,PF,69,22.1,11.2,4.3,8.9,48.4,0.8,2.6,32,1.8,2.3,75.3,5.4,2.8,0.5,0.8,1.9,3,0
118,Russell WestbrookLAC,PG,68,22.5,11.1,4.4,9.8,45.4,0.6,2.3,27.3,1.6,2.4,68.8,5,4.5,1.1,0.3,2.1,8,1
119,Eric GordonPHX,SG,68,27.8,11,4,9.1,44.3,2.2,5.8,37.8,0.8,0.9,79.7,1.8,2,1,0.4,1.1,0,0
120,Herbert JonesNO,SF,76,30.5,11,3.9,7.7,49.8,1.5,3.6,41.8,1.8,2.1,86.7,3.6,2.6,1.4,0.8,1.2,0,0
121,Daniel GaffordWSH/DAL,C,74,24.5,11,4.7,6.5,72.5,0,0,0,1.6,2.4,67.4,7.6,1.6,0.9,2.1,1,15,0
122,Jusuf NurkicPHX,C,76,27.3,10.9,4.2,8.3,51,0.3,1.2,24.4,2.2,3.4,64,11,4,1.1,1.1,2.3,28,0
123,Luguentz DortOKC,G,79,28.4,10.9,3.6,8.3,43.8,2,5,39.4,1.6,2,82.6,3.6,1.4,0.9,0.6,0.9,0,0
124,Moritz WagnerORL,C,80,17.7,10.9,4.2,6.9,60.1,0.5,1.4,33,2.1,2.6,81.4,4.3,1.2,0.5,0.3,1.2,3,0
125,Bruce BrownIND/TOR,SF,67,27.8,10.8,4.1,8.7,47.8,0.8,2.4,32.3,1.7,2.1,82.4,4.2,2.9,0.9,0.3,1.3,2,0
126,Santi AldamaMEM,PF,61,26.5,10.7,4,9.3,43.5,1.7,5,34.9,0.9,1.4,62.1,5.8,2.3,0.7,0.9,1.1,5,0
127,Jaden McDanielsMIN,PF,72,29.2,10.5,4.3,8.7,48.9,1.2,3.5,33.7,0.8,1.1,72.2,3.1,1.4,0.9,0.6,1.2,0,0
128,Simone FontecchioUTAH/DET,F,66,24.9,10.5,3.8,8.3,46,2,5.1,40.1,0.8,1,81.8,3.7,1.5,0.7,0.3,1,0,0
129,Spencer DinwiddieLAL/BKN,PG,76,28.3,10.5,3.3,8.4,39.2,1.6,4.8,33.7,2.2,2.8,80.5,2.7,4.7,0.7,0.3,1.2,4,0
130,Alec BurksNY/DET,SG,66,18.4,10.4,3.2,8.6,36.9,1.9,5,37.6,2.2,2.5,86.8,2.3,1.3,0.4,0.2,0.7,0,0
131,Grant WilliamsDAL/CHA,PF,76,28,10.3,3.6,8,45.6,1.7,4.4,37.5,1.4,1.8,75.7,4.2,2.3,0.6,0.5,1.4,2,0
132,Obi ToppinIND,PF,82,21.1,10.3,4,7.1,57.3,1.2,3.1,40.3,0.9,1.2,77,3.9,1.6,0.6,0.5,0.8,1,0
133,T.J. McConnellIND,PG,71,18.2,10.2,4.6,8.4,55.6,0.3,0.6,40.9,0.7,0.9,79,2.7,5.5,1,0.1,1.5,4,0
134,Kevin HuerterSAC,SG,64,24.4,10.2,3.9,8.8,44.3,1.9,5.3,36.1,0.6,0.7,76.6,3.5,2.6,0.7,0.4,0.8,2,0
135,Reggie JacksonDEN,PG,82,22.2,10.2,4,9.2,43.1,1.2,3.5,35.9,1,1.2,80.6,1.9,3.8,0.5,0.1,1.3,2,0
136,Kentavious Caldwell-PopeDEN,SG,76,31.6,10.1,3.6,7.7,46,1.6,4.1,40.6,1.3,1.5,89.4,2.4,2.4,1.3,0.6,1,0,0
137,Alex CarusoCHI,SG,71,28.7,10.1,3.6,7.6,46.8,1.9,4.7,40.8,1,1.4,76,3.8,3.5,1.7,1,1.4,1,0
138,Tre JonesSA,PG,77,27.8,10,3.9,7.8,50.5,0.8,2.5,33.5,1.3,1.5,85.6,3.8,6.2,1,0.1,1.5,5,1
139,Caleb MartinMIA,SF,64,27.5,10,3.8,8.7,43.1,1.3,3.6,34.9,1.2,1.5,77.8,4.4,2.2,0.7,0.5,1.2,2,0
140,Jalen SmithIND,PF,61,17.2,9.9,3.8,6.5,59.2,1,2.4,42.4,1.2,1.7,69.2,5.5,1,0.3,0.6,0.7,5,0
141,Kelly OlynykUTAH/TOR,PF,78,22.6,9.8,3.5,6.4,55.5,0.8,2,38.7,1.9,2.3,83.3,5.3,4.4,0.9,0.4,1.9,6,0
142,Lonnie Walker IVBKN,G,58,17.4,9.7,3.6,8.5,42.3,1.8,4.7,38.4,0.8,1,76.3,2.2,1.3,0.6,0.3,0.9,0,0
143,Nick RichardsCHA,C,67,26.3,9.7,3.9,5.6,69.1,0,0,0,2,2.7,73.7,8,0.8,0.4,1.1,1.1,19,0
144,Payton PritchardBOS,PG,82,22.3,9.6,3.6,7.7,46.8,1.8,4.7,38.5,0.6,0.7,82.1,3.2,3.4,0.5,0.1,0.7,3,0
145,Amen ThompsonHOU,F,62,22.4,9.5,3.9,7.2,53.6,0.1,0.9,13.8,1.7,2.5,68.4,6.6,2.6,1.3,0.6,1.5,13,1
146,Josh HartNY,SG,81,33.4,9.4,3.6,8.4,43.4,1,3.2,31,1.1,1.4,79.1,8.3,4.1,0.9,0.3,1.5,21,6
147,Isaac OkoroCLE,SF,69,27.3,9.4,3.4,7,49,1.2,3.1,39.1,1.3,2,67.9,3,1.9,0.8,0.5,0.8,0,0
148,Georges NiangCLE,SF,82,22.3,9.4,3.5,7.7,44.9,1.8,4.8,37.6,0.6,0.7,85,3.4,1.2,0.4,0.2,0.9,0,0
149,Brandin PodziemskiGS,G,74,26.6,9.2,3.7,8.1,45.4,1.2,3.2,38.5,0.7,1.1,63.3,5.8,3.7,0.8,0.2,1.2,7,0
150,Andrew NembhardIND,PG,68,25,9.2,3.8,7.7,49.8,0.9,2.5,35.7,0.7,0.8,80.4,2.1,4.1,0.9,0.1,1.5,1,0
151,Malaki BranhamSA,G,75,21.3,9.2,3.6,8.4,43.2,1.2,3.6,34.7,0.7,0.8,87.3,2,2.1,0.4,0.1,1.2,0,0
152,Chris PaulGS,PG,58,26.4,9.2,3.6,8.1,44.1,1.3,3.6,37.1,0.7,0.9,82.7,3.9,6.8,1.2,0.1,1.3,5,0
153,Duop ReathPOR,C,68,17.9,9.1,3.4,7.3,46.1,1.3,3.6,35.9,1,1.4,74.2,3.7,1,0.5,0.6,0.8,1,0
154,Sam HauserBOS,SF,79,22,9,3.2,7.1,44.6,2.5,5.9,42.4,0.2,0.2,89.5,3.5,1,0.5,0.3,0.4,0,0
155,Taurean PrinceLAL,PF,78,27,8.9,3.2,7.3,44.2,1.8,4.6,39.6,0.6,0.9,73.5,2.9,1.5,0.7,0.4,0.9,0,0
156,Jabari WalkerPOR,F,72,23.6,8.9,3.3,7.1,46,0.6,1.9,29.5,1.8,2.4,75.4,7.1,1,0.6,0.3,0.9,11,0
157,Ausar ThompsonDET,F,63,25.1,8.8,3.7,7.6,48.3,0.3,1.8,18.6,1.1,1.9,59.7,6.4,1.9,1.1,0.9,1.3,2,0
158,Terance MannLAC,SG,75,25,8.8,3.4,6.6,51.5,0.9,2.7,34.8,1.1,1.3,83.2,3.4,1.6,0.6,0.2,0.6,2,0
159,Al HorfordBOS,C,65,26.8,8.6,3.3,6.4,51.1,1.7,4,41.9,0.4,0.5,86.7,6.4,2.6,0.6,1,0.7,3,0
160,Derrick Jones Jr.DAL,SF,76,23.5,8.6,3.1,6.5,48.3,1.1,3.1,34.3,1.3,1.8,71.3,3.3,1,0.7,0.7,0.9,2,0
161,Dorian Finney-SmithBKN,PF,68,28.5,8.5,3.2,7.5,42.1,1.7,4.9,34.8,0.5,0.7,71.7,4.7,1.6,0.8,0.6,0.9,0,0
162,Gradey DickTOR,G,60,21.1,8.5,3.2,7.4,42.5,1.5,4,36.5,0.7,0.9,86.3,2.2,1.1,0.6,0,0.8,0,0
163,Bilal CoulibalyWSH,SG,63,27.2,8.4,3,6.9,43.5,1,2.9,34.6,1.5,2.1,70.2,4.1,1.7,0.9,0.8,1.4,1,0
164,Andre DrummondCHI,C,79,17.1,8.4,3.4,6.1,55.6,0,0,0,1.6,2.8,59.2,9,0.5,0.9,0.6,1,18,0
