PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF,Offensive_Rating,Defensive_Rating,Scaled_Offensive_Rating,Scaled_Defensive_Rating,Position
1629029,1,Luka Dončić,1610612742,DAL,70,37.5,11.5,23.6,0.487,4.1,10.6,0.382,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,33.9,36.9,7.682285714285714,0.2085714285714285,8.775085283975923,6.177978422220521,Forward-Guard
1628983,3,Shai Gilgeous-Alexander,1610612760,OKC,75,34.0,10.6,19.8,0.535,1.3,3.6,0.353,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,30.1,32.2,7.097066666666668,0.1549333333333333,8.040873660639802,4.4542046063203,Guard
1628973,4,Jalen Brunson,1610612752,NYK,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,28.7,25.6,5.432727272727273,0.0637662337662337,5.952805384020829,1.5243567359260983,Guard
1628369,7,Jayson Tatum,1610612738,BOS,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,26.9,27.6,5.7043243243243245,0.1909459459459459,6.29354909863106,5.611546200726703,Forward-Guard
203999,10,Nikola Jokić,1610612743,DEN,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,26.4,38.5,4.720253164556961,0.2660759493670886,5.05894047365448,8.026008013939645,Center
1630162,12,Anthony Edwards,1610612750,MIN,79,35.1,9.1,19.7,0.461,2.4,6.7,0.357,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,25.9,23.6,5.109873417721519,0.1075949367088607,5.547755251171421,2.932884950472225,Guard
202681,14,Kyrie Irving,1610612742,DAL,58,35.0,9.7,19.5,0.497,3.0,7.3,0.411,3.3,3.6,0.905,0.8,4.2,5.0,5.2,1.3,0.5,1.8,25.6,25.6,4.653620689655173,0.1612068965517241,4.975343848145475,4.65581885008219,Guard
1627759,19,Jaylen Brown,1610612738,BOS,70,33.5,9.0,17.9,0.499,2.1,5.9,0.354,3.0,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,23.0,21.2,4.225,0.1271428571428571,4.437599402493002,3.5610987833805186,Guard-Forward
1626157,28,Karl-Anthony Towns,1610612750,MIN,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,4.1,4.7,0.873,1.5,6.8,8.3,3.0,0.7,0.7,2.9,21.8,23.4,5.088870967741936,0.2106451612903226,5.521405727935152,6.244622216078927,Center-Forward
1627783,29,Pascal Siakam,1610612754,IND,80,33.2,8.5,15.9,0.536,1.1,3.1,0.346,3.6,5.0,0.732,1.7,5.3,7.1,4.3,0.8,0.3,1.8,21.7,23.7,4.150250000000001,0.14175,4.34381858816773,4.030530262453133,Forward
1627750,31,Jamal Murray,1610612743,DEN,59,31.5,8.0,16.7,0.481,2.5,5.8,0.425,2.7,3.1,0.853,0.7,3.4,4.1,6.5,1.0,0.7,2.1,21.2,22.2,4.047796610169492,0.1205084745762711,4.215281299489606,3.3478888455148743,Guard
1630169,37,Tyrese Haliburton,1610612754,IND,69,32.2,7.2,15.2,0.477,2.8,7.8,0.364,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,20.1,26.1,3.607826086956522,0.1001449275362318,3.6632974339908926,2.693463123821057,Guard
1631114,48,Jalen Williams,1610612760,OKC,71,31.3,7.5,14.0,0.54,1.5,3.4,0.427,2.5,3.1,0.814,0.5,3.5,4.0,4.5,1.1,0.6,1.7,19.1,20.6,3.335633802816901,0.108169014084507,3.32180694489832,2.9513341430478968,Guard-Forward
1626167,57,Myles Turner,1610612754,IND,77,27.0,6.2,11.8,0.524,1.5,4.2,0.358,3.2,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,17.1,19.7,3.5910389610389597,0.1892207792207792,3.6422364261149065,5.556104313469071,Center-Forward
1629008,60,Michael Porter Jr.,1610612743,DEN,81,31.7,6.4,13.3,0.484,2.7,6.8,0.397,1.1,1.4,0.836,1.3,5.7,7.0,1.5,0.5,0.7,1.1,16.7,18.2,1.744814814814815,0.1612345679012345,1.3259768427051055,4.656708127516912,Forward
1631096,62,Chet Holmgren,1610612760,OKC,82,29.4,6.2,11.6,0.53,1.6,4.3,0.37,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,16.5,22.1,2.960609756097561,0.2053658536585365,2.8513044633879643,6.074960481795497,Center-Forward
1628386,63,Jarrett Allen,1610612739,CLE,77,31.7,6.7,10.6,0.634,0.0,0.1,0.0,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,16.5,25.0,3.463896103896104,0.2419480519480519,3.4827239086767934,7.2506069185233635,Center
